code,desc
0709,"Other vegetables, fresh or chilled (excl. potatoes, tomatoes, alliaceous vegetables, edible brassicas, lettuce ""Lactuca sativa"" and chicory ""Cichorium spp."", carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, cucumbers and gherkins, and leguminous vegatables)"
0710,"Vegetables, uncooked or cooked by steaming or boiling in water, frozen"
0711,"Vegetables provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption"
0712,"Dried vegetables, whole, cut, sliced, broken or in powder, but not further prepared"
0713,"Dried leguminous vegetables, shelled, whether or not skinned or split"
0714,"Roots and tubers of manioc, arrowroot, salep, Jerusalem artichokes, sweet potatoes and similar roots and tubers with high starch or inulin content, fresh, chilled, frozen or dried, whether or not sliced or in the form of pellets; sago pith"
0801,"Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled"
0802,"Other nuts, fresh or dried, whether or not shelled or peeled (excl. coconuts, Brazil nuts and cashew nuts)"
0803,"Bananas, incl. plantains, fresh or dried"
0804,"Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried"
0805,"Citrus fruit, fresh or dried"
0806,"Grapes, fresh or dried"
0807,"Melons, incl. watermelons, and papaws ""papayas"", fresh"
0808,"Apples, pears and quinces, fresh"
0809,"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"
0810,"Fresh strawberries, raspberries, blackberries, back, white or red currants, gooseberries and other edible fruits (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, papaws ""papayas"", citrus fruit, grapes, melons, apples, pears, quinces, apricots, cherries, peaches, plum"
0811,"Fruit and nuts, uncooked or cooked by steaming or boiling in water, frozen, whether or not containing added sugar or other sweetening matter"
0812,"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur water or in other preservative solutions, but unsuitable in that state for immediate consumption"
0813,"Dried apricots, prunes, apples, peaches, pears, papaws ""papayas"", tamarinds and other edible fruits, and mixtures of edible and dried fruits or of edible nuts (excl. nuts, bananas, dates, figs, pineapples, avocados, guavas, mangoes, mangosteens, citrus fruit and grapes, unmixed)"
0814,"Peel of citrus fruit or melons, incl. watermelons, fresh, frozen, dried or provisionally preserved in brine, or in water with other additives"
0901,"Coffee, whether or not roasted or decaffeinated; coffee husks and skins; coffee substitutes containing coffee in any proportion"
0902,"Tea, whether or not flavoured"
0903,Mate
0904,Pepper of the genus Piper; dried or crushed or ground fruits of the genus Capsicum or of the genus Pimenta
0905,Vanilla
0906,Cinnamon and cinnamon-tree flowers
0907,"Cloves, whole fruit, cloves and stems"
0908,"Nutmeg, mace and cardamoms"
0909,"Seeds of anis, badian, fennel, coriander, cumin or caraway; juniper berries"
0910,"Ginger, saffron, turmeric ""curcuma"", thyme, bay leaves, curry and other spices (excl. pepper of the genus Piper, fruit of the genus Capsicum or of the genus Pimenta, vanilla, cinnamon, cinnamontree flowers, cloves [wholefruit], clove stems, nutmeg, mace, cardamoms, seeds of anise, badian, fennel, coriand"
1001,Wheat and meslin
1002,Rye
1003,Barley
1004,Oats
1005,Maize or corn
1006,Rice
1007,Grain sorghum
1008,"Buckwheat, millet, canary seed and other cereals (excl. wheat and meslin, rye, barley, oats, maize, rice and grain sorghum)"
1101,Wheat or meslin flour
1102,Cereal flours (excl. wheat or meslin)
1103,"Cereal groats, meal and pellets"
1104,"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ of cereals, whole, rolled, flaked or ground (excl. cereal flours, and husked and semi- or wholly milled rice and broken rice)"
1105,"Flour, meal, powder, flakes, granules and pellets of potatoes"
1106,"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading 0713, of sago and manioc, arrowroot and salep, Jerusalem artichoke, sweet potatoes and similar roots and tubers with high starch or inulin content of heading 0714, produce of chapter 8 ""Edible fruit and nuts;"
1107,"Malt, whether or not roasted"
1108,Starches; inulin
1109,"Wheat gluten, whether or not dried"
1201,"Soya beans, whether or not broken"
1202,"Groundnuts, whether or not shelled or broken (excl. roasted or otherwise cooked)"
1203,Copra
1204,"Linseed, whether or not broken"
1205,"Rape or colza seeds, whether or not broken"
1206,"Sunflower seeds, whether or not broken"
1207,"Other oil seeds and oleaginous fruits, whether or not broken (excl. edible nuts, olives, soya beans, groundnuts, copra, linseed, rape or colza seeds and sunflower seeds)"
1208,Flours and meals of oil seeds or oleaginous fruits (excl. mustard)
1209,"Seeds, fruits and spores, for sowing (excl. leguminous vegetables and sweetcorn, coffee, tea, maté and spices, cereals, oil seeds and oleaginous fruits, and seeds and fruit used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes)"
1210,"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"
1211,"Plants and parts of plants, incl. seeds and fruits, of a kind used primarily in perfumery, medicaments or for insecticidal, fungicidal or similar purposes, fresh or dried, whether or not cut, crushed or powdered"
1212,"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or dried, whether or not ground; fruit stones and kernels and other vegetable products, incl. unroasted chicory roots of the variety Cichorium intybus sativum, of a kind used primarily for human consumption, n.e.s."
1213,"Cereal straw and husks, unprepared, whether or not chopped, ground, pressed or in the form of pellets"
1214,"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches and similar forage products, whether or not in the form of pellets"
1301,"Lac; natural gums, resins, gum-resins, balsams and other natural oleoresins"
1302,"Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners derived from vegetable products, whether or not modified,"
1401,"Vegetable materials of a kind used primarily for plaiting, e.g. bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark"
1404,"Vegetable products, n.e.s."
1501,"Pig fat, incl. lard, and poultry fat, rendered or otherwise extracted (excl. lard stearin and lard oil)"
1502,"Fats of bovine animals, sheep or goats (excl. oil and oleostearin)"
1503,"Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil (excl. emulsified, mixed or otherwise prepared)"
1504,"Fats and oils and their fractions of fish or marine mammals, whether or not refined (excl. chemically modified)"
1505,"Wool grease and fatty substances derived therefrom, incl. lanolin"
1506,"Other animal fats and oils and their fractions, whether or not refined, but not chemically modified (excl. pig fat, poultry fat, fats of bovine animals, sheep and goats, fats of fish and other marine animals, lard stearin, lard oil, oloestearin, oleo-oil, tallow oil, wool grease and fatty substances deri"
1507,"Soya-bean oil and its fractions, whether or not refined (excl. chemically modified)"
1508,"Groundnut oil and its fractions, whether or not refined, but not chemically modified"
1509,"Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical or other physical means under conditions that do not lead to deterioration of the oil, whether or not refined, but not chemically modified"
1510,"Other oils and their fractions, obtained solely from olives, whether or not refined, but not chemically modified, incl. blends of these oils or fractions with oils or fractions of heading 1509"
1511,"Palm oil and its fractions, whether or not refined (excl. chemically modified)"
1512,"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, but not chemically modified"
1513,"Coconut ""copra"", palm kernel or babassu oil and fractions thereof, whether or not refined, but not chemically modified"
1514,"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically modified"
1515,"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, but not chemically modified (excl. soya-bean, groundnut, olive, palm, sunflower-seed, safflower, cotton-seed, coconut, palm kernel, babassu, rape, colza and mustard oil)"
1516,"Animal or vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared"
1517,"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible fractions of different fats or oils (excl. fats, oils and their fractions, partly or wholly hydrogenated, inter-esterified, re-esterified or elaidinised, whether or not refined, but not further prepared, and m"
1518,"Animal or vegetable fats and oils and their fractions, boiled, oxidised, dehydrated, sulphurised, blown, polymerised by heat in vacuum or in inert gas or otherwise chemically modified, inedible mixtures or preparations of animal or vegetable fats or oils or of fractions of different fats or oils, n.e.s."
1520,"Glycerol, crude; glycerol waters and glycerol lyes"
1521,"Vegetable waxes, beeswax, other insect waxes and spermaceti, whether or not refined or coloured (excl. triglycerides)"
1522,Degras; residues resulting from the treatment of fatty substances or animal or vegetable waxes
1601,"Sausages and similar products, of meat, offal or blood; food preparations based on these products"
1602,"Prepared or preserved meat, offal or blood (excl. sausages and similar products, and meat extracts and juices)"
1603,"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates"
1604,Prepared or preserved fish; caviar and caviar substitutes prepared from fish eggs
1605,"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excl. smoked)"
1701,"Cane or beet sugar and chemically pure sucrose, in solid form"
1702,"Other sugars, incl. chemically pure lactose, maltose, glucose and fructose, in solid form; sugar syrups not containing added flavouring or colouring matter; artificial honey, whether or not mixed with natural honey; caramel"
1703,Molasses resulting from the extraction or refining of sugar
1704,"Sugar confectionery not containing cocoa, incl. white chocolate"
1801,"Cocoa beans, whole or broken, raw or roasted"
1802,"Cocoa shells, husks, skins and other cocoa waste"
1803,"Cocoa paste, whether or not defatted"
1804,"Cocoa butter, fat and oil"
1805,"Cocoa powder, not containing added sugar or other sweetening matter"
1806,Chocolate and other food preparations containing cocoa
1901,"Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing < 40% by weight of cocoa calculated on a totally defatted basis, n.e.s.; food preparations of milk, cream, butter milk, sour milk, sour cream, whey, yogurt, kephir, and similar goods of head"
1902,"Pasta, whether or not cooked or stuffed with meat or other substances or otherwise prepared, such as spaghetti, macaroni, noodles, lasagne, gnocchi, ravioli, cannelloni; couscous, whether or not prepared"
1903,"Tapioca and substitutes therefor prepared from starch, in the form of flakes, grains, pearls, siftings or similar forms"
1904,"Prepared foods obtained by the swelling or roasting of cereals or cereal products, e.g. corn flakes; cereals (other than maize ""corn"") in grain form or in the form of flakes or other worked grains (except flour, groats and meal), pre-cooked or otherwise prepared, n.e.s."
1905,"Bread, pastry, cakes, biscuits and other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets of a kind suitable for pharmaceutical use, sealing wafers, rice paper and similar products"
2001,"Vegetables, fruit, nuts and other edible parts of plants, prepared or preserved by vinegar or acetic acid"
2002,"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"
2003,"Mushrooms and truffles, prepared or preserved otherwise than by vinegar or acetic acid"
2004,"Vegetables prepared or preserved otherwise than by vinegar or acetic acid, frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles)"
2005,"Other vegetables prepared or preserved otherwise than by vinegar or acetic acid, not frozen (excl. preserved by sugar, and tomatoes, mushrooms and truffles)"
2006,"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar ""drained, glacé or crystallised"""
2007,"Jams, fruit jellies, marmalades, fruit or nut purée and fruit or nut pastes, obtained by cooking, whether or not containing added sugar or other sweetening matter"
2008,"Fruits, nuts and other edible parts of plants, prepared or preserved, whether or not containing added sugar or other sweetening matter or spirit (excl. prepared or preserved with vinegar, preserved with sugar but not laid in syrup, and jams, fruit jellies, marmalades, fruit purée and pastes, obtained by"
2009,"Fruit juices, incl. grape must, and vegetable juices, unfermented, not containing added spirit, whether or not containing added sugar or other sweetening matter"
2101,"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of these products or with a basis of coffee, tea or mate; roasted chicory and other roasted coffee substitutes, and extracts, essences and concentrates thereof"
2102,"Yeasts, active or inactive; other dead single-cell micro-organisms, prepared baking powders (excl. single-cell micro-organisms packaged as medicaments)"
2103,"Sauce and preparations therefor; mixed condiments and mixed seasonings; mustard flour and meal, whether or not prepared, and mustard"
2104,"Soups and broths and preparations therefor; food preparations consisting of finely homogenised mixtures of two or more basic ingredients such as meat, fish, vegetables or fruit, put up for retail sale as infant food or for dietetic purposes, in containers of <= 250 g"
2105,"Ice cream and other edible ice, whether or not containing cocoa"
2106,"Food preparations, n.e.s."
2201,"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added sugar, other sweetening matter or flavoured; ice and snow"
2202,"Waters, incl. mineral waters and aerated waters, containing added sugar or other sweetening matter or flavoured, and other non-alcoholic beverages (excl. fruit or vegetable juices and milk)"
2203,Beer made from malt
2204,"Wine of fresh grapes, incl. fortified wines; grape must, partly fermented and of an actual alcoholic strength of > 0,5% vol or grape must with added alcohol of an actual alcoholic strength of > 0,5% vol"
2205,"Vermouth and other wine of fresh grapes, flavoured with plants or aromatic substances"
2206,"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic beverages, n.e.s. (excl. beer, wine or fresh grapes, grape must, vermouth and other wine of fresh grapes flavoured with plants or aromatic substances)"
2207,"Undenatured ethyl alcohol of an alcoholic strength of >= 80%; ethyl alcohol and other spirits, denatured, of any strength"
2208,"Undenatured ethyl alcohol of an alcoholic strength of < 80%; spirits, liqueurs and other spirituous beverages (excl. compound alcoholic preparations of a kind used for the manufacture of beverages)"
2209,"Vinegar, fermented vinegar and substitutes for vinegar obtained from acetic acid"
2301,"Flours, meals and pellets, of meat or meat offal, of fish or of crustaceans, molluscs or other aquatic invertebrates, unfit for human consumption; greaves"
2302,"Bran, sharps and other residues, whether or not in the form of pellets, derived from the sifting, milling or other working of cereals or of leguminous plants"
2303,"Residues of starch manufacture and similar residues, beet-pulp, bagasse and other waste of sugar manufacture, brewing or distilling dregs and waste, whether or not in the form of pellets"
2304,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of soya-bean oil"
2305,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of groundnut oil"
2306,"Oilcake and other solid residues, whether or not ground or in the form of pellets, resulting from the extraction of vegetable fats or oils (excl. from soya-bean oil and groundnut oil)"
2307,Wine lees; argol
2308,"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable residues and by-products of a kind used in animal feeding, whether or not in the form of pellets, n.e.s."
2309,Preparations of a kind used in animal feeding
2401,Unmanufactured tobacco; tobacco refuse
2402,"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"
2403,"Manufactured tobacco and manufactured tobacco substitutes and ""homogenised"" or ""reconstituted"" tobacco, tobacco extracts and tobacco essences (excl. cigars, incl. cheroots, cigarillos and cigarettes)"
2501,"Salts, incl. table salt and denatured salt, and pure sodium chloride, whether or not in aqueous solution or containing added anti-caking or free-flowing agents; sea water"
2502,Unroasted iron pyrites
2503,"Sulphur of all kinds (excl. sublimed sulphur, precipitated sulphur and colloidal sulphur)"
2504,Natural graphite
2505,"Natural sands of all kinds, whether or not coloured (excl. gold- and platinum-bearing sands, zircon, rutile and ilmenite sands, monazite sands, and tar or asphalt sands)"
2506,"Quartz (excl. natural sands); quartzite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape"
2507,"Kaolin and other kaolinic clays, whether or not calcined"
2508,"Clays, andalusite, kyanite and sillimanite, whether or not calcined; mullite; chamotte or dinas earths (excl. kaolin and other kaolinic clays, and expanded clay)"
2509,Chalk
2510,"Natural calcium phosphates and natural aluminium calcium phosphates, natural and phosphatic chalk"
2511,"Natural barium sulphate ""barytes""; natural barium carbonate ""witherite"", whether or not calcined (excl. barium oxide)"
2512,"Siliceous fossil meals, e.g. kieselguhr, tripolite and diatomite, and similar siliceous earths, whether or not calcined, of an apparent specific gravity of <= 1"
2513,"Pumice stone; emery; natural corundum, natural garnet and other natural abrasives, whether or not heat-treated"
2514,"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; slate powder and slate refuse"
2515,"Marble, travertine, ecaussine and other calcareous monumental or building stone of an apparent specific gravity of >= 2,5, and alabaster, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings o"
2516,"Granite, porphyry, basalt, sandstone and other monumental or building stone, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape (excl. in the form of granules, chippings or powder, or already with the characteristics of setts, curbs"
2517,"Pebbles, gravel, broken or crushed stone, for concrete aggregates, for road metalling or for railway ballast, shingle and flint, whether or not heat-treated; macadam of slag, dross or similar industrial waste, whether or not incorporating the materials cited in the first part of the heading; tarred macad"
2518,"Dolomite, whether or not calcined or sintered, incl. dolomite roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a rectangular ""incl. square"" shape, and dolomite ramming mix (excl. broken or crushed dolomite for concrete aggregates, road metalling or railway or other ballast)"
2519,"Natural magnesium carbonate ""magnesite""; fused magnesia; dead-burned ""sintered"" magnesia, whether or not containing small quantities of other oxides added before sintering; other magnesium oxide, whether or not pure"
2520,"Gypsum; anhydrite; plasters consisting of calcined gypsum or calcium sulphate, whether or not coloured, with or without small quantities of accelerators or retarders"
2521,"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of lime or cement"
2522,"Quicklime, slaked lime and hydraulic lime (excl. pure calcium oxide and calcium hydroxide)"
2523,"Cement, incl. cement clinkers, whether or not coloured"
2524,Asbestos (excl. products made from asbestos)
2525,"Mica, whether or not rifted into sheets or splittings; mica waste"
2526,"Natural steatite, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or slabs of a square or rectangular shape; talc"
2528,"Borates, natural, and concentrates thereof, whether or not calcined, and natural boric acids containing <= 85% of H3BO3 calculated on the dry weight (excl. borates separated from natural brine)"
2529,"Feldspar; leucite, nepheline and nepheline syenite; fluorspar"
2530,"Vermiculite, perlite and other mineral substances, n.e.s."
2601,"Iron ores and concentrates, incl. roasted iron pyrites"
2602,"Manganese ores and concentrates, incl. ferruginous manganese ores and concentrates, with a manganese content of >= 20%, calculated on the dry weight"
2603,Copper ores and concentrates
2604,Nickel ores and concentrates
2605,Cobalt ores and concentrates
2606,Aluminium ores and concentrates
2607,Lead ores and concentrates
2608,Zinc ores and concentrates
2609,Tin ores and concentrates
2610,Chromium ores and concentrates
2611,Tungsten ores and concentrates
2612,Uranium or thorium ores and concentrates
2613,Molybdenum ores and concentrates
2614,Titanium ores and concentrates
2615,"Niobium, tantalum, vanadium or zirconium ores and concentrates"
2616,Precious-metal ores and concentrates
2617,"Ores and concentrates (excl. iron, manganese, copper, nickel, cobalt, aluminium, lead, zinc, tin, chromium, tungsten, uranium, thorium, molybdenum, titanium, niobium, tantalum, vanadium, zirconium and precious-metal ores and concentrates)"
2618,"Granulated slag ""slag sand"" from the manufacture of iron or steel"
2619,"Slag, dross, scalings and other waste from the manufacture of iron or steel (excl. granulated slag)"
2620,"Slag, ash and residues containing metals, arsenic or their compounds (excl. those from the manufacture of iron or steel)"
2621,"Slag and ash, incl. seaweed ash ""kelp""; ash and residues from the incineration of municipal waste (excl. slag, incl. granulated, from the manufacture of iron or steel and ashes and residues containing arsenic, metals or metal compounds)"
2701,"Coal; briquettes, ovoids and similar solid fuels manufactured from coal"
2702,"Lignite, whether or not agglomerated (excl. jet)"
2703,"Peat, incl. peat litter, whether or not agglomerated"
2704,"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"
2705,"Coal gas, water gas, producer gas, lean gas and similar gases (excl. petroleum gases and other gaseous hydrocarbons)"
2706,"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, incl. reconstituted tars"
2707,Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the non-aromatic constituents
2708,"Pitch and pitch coke, obtained from coal tar or from other mineral tars"
2709,"Petroleum oils and oils obtained from bituminous minerals, crude"
2710,"Petroleum oils and oils obtained from bituminous minerals (excl. crude); preparations containing >= 70% by weight of petroleum oils or of oils obtained from bituminous minerals, these oils being the basic constituents of the preparations, n.e.s.; waste oils containing mainly petroleum or bituminous miner"
2711,Petroleum gas and other gaseous hydrocarbons
2712,"Petroleum jelly, paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite wax, peat wax, other mineral waxes, and similar products obtained by synthesis or by other processes, whether or not coloured"
2713,"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from bituminous minerals, n.e.s."
2714,"Bitumen and asphalt, natural; bituminous or oil-shale and tar sands; asphaltites and asphaltic rocks"
2715,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural bitumen, on petroleum bitumen, on mineral tar or on mineral tar pitch"
2716,Electrical energy
2801,"Fluorine, chlorine, bromine and iodine"
2802,"Sulphur, sublimed or precipitated; colloidal sulphur"
2803,"Carbon ""carbon blacks and other forms of carbon"", n.e.s."
2804,"Hydrogen, rare gases and other non-metals"
2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury"
2806,"Hydrogen chloride ""hydrochloric acid""; chlorosulphuric acid"
2807,Sulphuric acid; oleum
2808,Nitric acid; sulphonitric acids
2809,"Diphosphorus pentaoxide; phosphoric acid; polyphosphoric acids, whether or not chemically defined"
2810,Oxides of boron; boric acids
2811,"Inorganic acids and inorganic oxygen compounds of non-metals (excl. hydrogen chloride ""hydrochloric acid"", chlorosulphuric acid, sulphuric acid, oleum, nitric acid, sulphonitric acids, diphosphorus pentaoxide, phosphoric acid, polyphosphoric acids, oxides of boron and boric acids)"
2812,Halides and halide oxides of non-metals
2813,Sulphides of non-metals; commercial phosphorus trisulphide
2814,"Ammonia, anhydrous or in aqueous solution"
2815,"Sodium hydroxide ""caustic soda"", potassium hydroxide ""caustic potash""; peroxides of sodium or potassium"
2816,"Hydroxide and peroxide of magnesium; oxides, hydroxides and peroxides, of strontium or barium"
2817,Zinc oxide; zinc peroxide
2818,"Artificial corundum, whether or not chemically defined; aluminium oxide; aluminium hydroxide"
2819,Chromium oxides and hydroxides
2820,Manganese oxides
2821,Iron oxides and hydroxides; earth colours containing >= 70% by weight of combined iron evaluated as Fe2O3
2822,Cobalt oxides and hydroxides; commercial cobalt oxides
2823,Titanium oxides
2824,Lead oxides; red lead and orange lead
2825,"Hydrazine and hydroxylamine and their inorganic salts; inorganic bases, metal oxides, hydroxides and peroxides, n.e.s."
2826,"Fluorides; fluorosilicates, fluoroaluminates and other complex fluorine salts (excl. inorganic or organic compounds of mercury)"
2827,"Chlorides, chloride oxides and chloride hydroxides; bromides and bromide oxides; iodides and iodide oxides"
