code,desc
01,Live animals
02,Meat and edible meat offal
03,"Fish and crustaceans, molluscs and other aquatic invertebrates"
04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included"
05,Products of animal origin not elsewhere specified or included
06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"
07,Edible vegetables and certain roots and tubers
08,Edible fruit and nuts; peel of citrus fruits or melons
09,"Coffee, tea, mate and spices"
10,Cereals
11,Products of the milling industry; malt; starches; inulin; wheat gluten
12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medical plants; straw and fodder"
13,"Lacs; gums, resins and other vegetable saps and extracts"
14,Vegetable plaiting materials; vegetable products not elsewhere specified or included
15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes
16,"Preparations of meat, fish or crustaceans, molluscs or other aquatic invertebrates"
17,Sugars and sugar confectionery
18,Cocoa and cocoa preparations
19,"Preparations of cereals, flour, starch or milk; pastrycooks' products"
20,"Preparations of vegetables, fruit, nuts or other parts of plants"
21,Miscellaneous edible preparations
22,"Beverages, spirits and vinegar"
23,Residues and waste from the food industries; prepared animal fodder
24,Tobacco and manufactured tobacco substitutes
25,"Salt; sulphur; earths and stone; plastering material, lime and cement"
26,"Ores, slag and ash"
27,"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral waxes"
28,"Inorganic chemicals: organic or inorganic compounds of precious metals, of rare-earth metals, of radioactive elements or of isotopes"
29,Organic chemicals
30,Pharmaceutical products
31,Fertilizers
32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter;paints and varnishes; putty and other mastics; inks"
33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"
34,"Soaps, organic surface-active agents, washing preprations, lubricating preparations,artificial waxes, prepared waxes, shoe polish, scouring powder and the like, candles and similar products, modelling pastes, dentalwax and plaster-based dental preparations"
35,Albuminous substances; modified starches; glues; enzymes
36,Explosives; pyrotechnic products; matches;pyrophoric alloys; combustible materials
37,Photographic or cinematographic products
38,Miscellaneous chemical products
39,Plastics and plastic products
40,Rubber and articles thereof
41,Hides and skins (other than furskins) and leather
42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles of animal gut (other than silk-worm gut)"
43,Furskins and artificial fur; articles thereof
44,Wood and articles of wood; wood charcoal
45,Cork and articles of cork
46,Wickerwork and basketwork
47,Pulp of wood or of other fibrous cellulosic material; waste and scrap of paper or paperboard
48,"Paper and paperboard; articles of paper pulp, paper or paperboard"
49,"Books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans"
50,Silk
51,"Wool, fine and coarse animal hair; yarn and fabrics of horsehair"
52,Cotton
53,Other vegetable textile fibres; paper yarnand woven fabrics of paper yarn
54,Man-made filaments
55,Man-made staple fibres
56,"Wadding, felt and nonwovens; special yarns; twine, cordage, rope and cable and articles thereof"
57,Carpets and other textile floor coverings
58,Special woven fabrics; tufted textile products; lace; tapestries; trimmings; embroidery
59,"Impregnated, coated, covered or laminated textile fabrics; articles for technical use, of textile materials"
60,Knitted or crocheted fabrics
61,"Articles of apparel and clothing accessories, knitted or crocheted"
62,"Articles of apparel and clothing accessories, not knitted or crocheted"
63,Other made up textile articles; sets; worn clothing and worn textile articles; rags
64,"Footwear, gaiters and the like; parts of such articles"
65,Headgear and parts thereof
66,"Umbrellas, sun umbrellas, walking-sticks, seat-sticks, whips, riding-crops and parts thereof"
67,Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles of human hair
68,"Articles of stone, plaster, cement, asbestos, mica or similar materials"
69,Ceramic products
70,Glass and glassware
71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad with precious metal, and articles thereof; imitation jewellery; coin"
72,Iron and steel
73,Articles of iron or steel
74,Copper and articles thereof
75,Nickel and articles thereof
76,Aluminium and articles thereof
78,Lead and articles thereof
79,Zinc and articles thereof
80,Tin and articles thereof
81,Other base metals; cermets; articles thereof
82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"
83,Miscellaneous articles of base metal
84,"Nuclear reactors, boilers, machinery and mechanical appliances; parts thereof"
85,"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television image and sound recorders and reproducers, and parts and accessories of such articles"
86,"Railway or tramway locomotives, rolling-stock and parts thereof; railway or tramway track fixtures and fittings and parts thereof; mechanical, including electro-mechanical, traffic signalling  equipment of all kinds"
87,"Vehicles other than railway or tramway rolling-stock, and parts and accessories thereof"
88,"Aircraft, spacecraft, and parts thereof"
89,"Ships, boats and floating structures"
90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical instruments and apparatus; parts and accessories thereof"
91,Clocks and watches and parts thereof
92,Musical instruments; parts and accessories for such
93,Arms and ammunition; parts and accessoriesthereof
94,"Furniture; medical and surgical furniture; bedding, mattresses, mattress supports,cushions and similar stuffed furnishings; lamps and lighting fittings, not elsewhere specified; illuminated signs, illuminatedname-plates and the like; prefabricated buildings"
95,"Toys, games and sports requisites; parts and accessories thereof"
96,Miscellaneous manufactured articles
97,"Works of art, collectors' pieces and antiques"
